,id,name,slug,description
10,v9CQdBkhEeWjrA6seF25aw,Modern Art & Ideas,modern-art-ideas,"Modern Art & Ideas is designed for anyone interested in learning more about modern and contemporary art. You will look at art through a variety of themes, including Places and Spaces, Art and Identity, Transforming Everyday Objects, and Art and Society. 

Each week kicks off with a video that connects key works of art to the theme. You’ll also have access to interviews with artists, designers, and others who speak about their materials, processes, and sources of inspiration. Through the discussion forum prompts you will also have the opportunity to connect with other learners and explore how these themes resonate with you."
11,QgmoVdT2EeSlhSIACx2EBw,The Evolving Universe,evolvinguniverse,"This is an introductory astronomy survey class that covers our understanding of the physical universe and its major constituents, including planetary systems, stars, galaxies, black holes, quasars, larger structures, and the universe as a whole."
12,zRhFMLBVEeqP6QqV6TddSw,Use SurveyMonkey to Create a Survey and Analyze Results,create-survey-analyze-results-with-surveymonkey,"In this project, we will walk through the survey making process and explore the many ways that SurveyMonkey streamlines and simplifies data collection. We will learn how the program is organized and how it operates, helping you feel comfortable and confident enough to create your own survey to meet your own individual needs.

SurveyMonkey is a cloud based survey software which allows its users to create online surveys for free. SurveyMonkey can help move a business in the right direction by collecting the opinions and thoughts of their employees, shareholders, customers, or any other invested group of individuals. After creating a survey with SurveyMonkey, you can easily email them to your target audience or post them on social media. The question templates provided by SurveyMonkey make creating a professional and thorough survey quick and easy. Its user friendly features and detailed options allow amateurs and marketing gurus alike to create the perfect survey to meet their needs. 

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions."
13,LuXbfNnCEeq3nQoreMGNOQ,Performing Data Aggregation using SQL Aggregate Functions,performing-data-aggregation-using-sql-aggregate-functions,"In this 2-hour long project-based course, you will learn how to retrieve data from tables in a database using SQL SELECT statement with SQL Aggregate functions. The aggregate functions we will consider in this project are COUNT, SUM, MIN, MAX and AVG. Aggregate functions are used to summarize data from rows of a table into a single value. In addition, you will learn how to set conditions on the output of an aggregate function using the HAVING clause. Finally, you will learn how to tidy up the result set of aggregate functions using the ROUND function.

Note: You do not need to be a data administrator or data analyst to be successful in this guided project, just a familiarity with querying databases using SQL SELECT statement suffice for this project. If you are not familiar with SQL and want to learn the basics, start with my previous guided projects titled “Performing Data definition and Manipulation in SQL.""  and “Querying Databases using SQL SELECT statement”"
14,ZA5RDyTyEe-_Bw7l9wp8FQ,Inteligencia Artificial para personajes en Unreal Engine,inteligencia-artificial-para-personajes-en-unreal-engine,"Este curso está dedicado principalmente a estudiantes universitarios de primer y segundo año interesados en ciencia e ingeniería, junto con estudiantes de secundaria y profesionales interesados en programación."
15,B6cXoZ3VEe6J0A5c28jyYQ,Developing AI Policy,developing-ai-policy,"AI tools are already changing how we work, and they will continue to do so for years. Over the next few years, we’re likely going to see AI used in ways we’ve never imagined and are not anticipating. This course will guide you as you lead your organization to adopt AI in a way that’s not unethical, illegal, or wrong. This course empowers you to make informed decisions and confidently create an AI policy that matches your organizational goals.

Unique Features of this Course

- Broadly applicable to audiences of any field
- Efficient yet effective overview of major AI policy concerns
- Beginner friendly for those who want to get started using generative AI tools
- Practical tips for how to develop an AI policy and advisory team
- Real-world examples of how industry regulations around AI have changed

Key Words

Artificial Intelligence (AI), Policy, Generative AI, Large Language Models (LLMs),  Data Science

Intended Audience

- Professionals looking for an introduction to AI policies and general regulations
- Decision makers who may have to help write AI policies or determine how AI will be used at an institute
- Anyone curious about how we can use AI more responsibly"
16,Q7g64XUHEeuBTg7vUdMe9w,Оценка облигаций,bonds-fixed-income-mathematics-ru,"В этом курсе-проекте продолжительностью 1 час вы получите следующие навыки: расчет текущей ставки и текущей цены бонда, расчет доходности к погашению бонда, расчет дюрации Маколея.

Примечание. Этот курс изначально создан для учащихся из Северной Америки. На данный момент мы адаптируем его и для других регионов."
17,YnC4qHR6Ee2hYgoC8bKiUw,Machine Learning in the Enterprise - Français,machine-learning-in-enterprise-fr,"Ce cours présente une approche pratique du workflow de ML avec une étude de cas dans laquelle une équipe est confrontée à plusieurs exigences métier et cas d'utilisation de ML. Cette équipe doit comprendre quels outils sont nécessaires pour gérer et gouverner les données, et trouver la meilleure approche pour les prétraiter.

On présente à cette équipe trois options de création de modèles de ML pour deux cas d'utilisation spécifiques. Ce cours explique pourquoi l'équipe tire parti des avantages d'AutoML, de BigQuery ML ou de l'entraînement personnalisé pour atteindre ses objectifs."
18,lDHhgquQEey44Q4AsVOVkw,Consulting Presentations and Storytelling,management-consulting-presentations,"This is the #5 course in the specialization on management consulting. In the previous 4 courses, we’ve learned how consultants break down problems with tools and logical thinking. Now, it’s time to bring all the parts together into consulting-quality presentations and deliverables. Every consulting project is different, and yet, the final presentation will have many of the same elements:
•	Clear alignment among the stakeholders on the project goals
•	Understanding on the consulting approach, assumptions, and decisions
•	Thoughtful progression of ideas that “brings the audience along”
•	Well-constructed PowerPoint slides (or excel model) which tell a clear story
•	Impactful use of graphs, tables, data visualization
•	Persuasive and authoritative delivery style"
19,7zPEd7ErEeyiqQr1qP1QDw,إختيار الهدف المثالي للحملات الإعلانية على Facebook,iikhtiar-alhadaf-almithalii-lilhamalat-aliielaniat-ealaa-facebook,"مع نهاية المشروع ده، هتقدر تختار الobjective الافضل للحملة الإعلانية بتاعتك على Facebook باستخدام ال-Ads Manager على Facebook Business Manager. على مدار المشروع، هتقدر تحدد ,  تفرق بين, و تستخدم   ال١١ نوع المختلفين للobjectives الخاصة بحملات Facebook والفرق بينهم.

ده هيساعدك أنك بسهولة تحدد الهدف الصحيح للحملة الإعلانية اللي الbrand بتاعتك محتاجاها على Facebook .

المشروع  ده للمستوي المتوسط اللي يعرف ازاي يستخدم Facebook Ads Manager عشان يعمل إعلانات ممولة لكن لسة مش عارف إيه الأهداف اللي المفروض يختار منها وهو بيعمل الحملة الإعلانية.

هنا هنستخدم الFacebook Business Manager اللي بنعتبره الركن الأساسي للbusiness لFacebook  المنصة دي بتساعدك تعمل إعلانات,تحللها وتحدد مين الجمهور المناسب وكمان تحط معلومات الـ Business بتاعك علي صفحاتك.

لما بتشغل الإعلانات من خلال الFacebook Business Manager ده بيكون أفضل كمنصة من أنك مجرد ت boost الإعلان مباشرة من خلال الFacebook  وده لأنه بيفتحلك objectives و معلومات كتير قيمة تساعدك في نجاح الحملة الإعلانية بأحسن وأسهل طريقة ممكنة."
20,FlptMGk3EeSiViIACw8GlA,Design: Creation of Artifacts in Society,design,"This is a course aimed at making you a better designer. The course marries theory and practice, as both are valuable in improving design performance. Lectures and readings will lay out the fundamental concepts that underpin design as a human activity. Weekly design challenges test your ability to apply those ideas to solve real problems. The course is deliberately broad - spanning all domains of design, including architecture, graphics, services, apparel, engineered goods, and products. The emphasis of the course is the basic design process: define, explore, select, and refine. You, the student, bring to the course your particular interests and expertise related to, for instance, engineering, furniture, fashion, architecture, or products. In prior sessions of the course about half of the participants were novices and about half had prior professional design expertise. Both groups seem to benefit substantially from the course. All project work is evaluated by your peers -- and indeed, you will also be a peer reviewer. This format allows you to see an interesting collection of projects while getting useful feedback on your own project."
21,bdcJIWIyEe62wwrYx-2qTQ,Product Management: Developing and Delivering a New Product,product-management-developing-and-delivering-a-new-product,"In this course you will be introduced to the steps required to effectively develop and launch a new product. These are important phases of the product management lifecycle and generally consume majority of the product manager's time.  

The course highlights how resources are assigned to design, create, and test the new product. The course also walks you through best practices to ensure a smooth transition from product development to product launch and delivery. Then, once the lifecycle of the product has come to an end, you will learn about how the Product Manager oversees retirement processes for the product. 

Throughout this course, several product management experts will share their insights and experiences in product management. Practice quizzes and graded quizzes will test your knowledge throughout. Also, you will put what you have learned to the test in a series of practical exercises that culminates in a final project allowing you to demonstrate real-word product management expertise. 

This course is suitable for anyone who aspires to apply for product management jobs. It requires no prior experience or knowledge of product management."
22,3K3rBiYYEe6JJAruShrzEQ,Introduction to Image Generation - Français,introduction-to-image-generation---franais,"Ce cours présente les modèles de diffusion, une famille de modèles de machine learning qui s'est récemment révélée prometteuse dans le domaine de la génération d'images. Les modèles de diffusion trouvent leur origine dans la physique, et plus précisément dans la thermodynamique. Au cours des dernières années, ils ont gagné en popularité dans la recherche et l'industrie. Ils sont à la base de nombreux modèles et outils Google Cloud avancés de génération d'images. Ce cours vous présente les bases théoriques des modèles de diffusion, et vous explique comment les entraîner et les déployer sur Vertex AI."
23,owRx0e6nEe2_1Q54ZEzvJQ,Fundamentals of Blockchain Architecture,fundamentals-blockchain-architecture,"This course is ideal for individuals with a basic understanding of digital technology as well as developers or security professionals wishing to expand their blockchain knowledge. It provides a comprehensive introduction to the world of blockchain technology. We will delve into the core principles of blockchain, exploring the critical decision-making processes involved in adopting this innovative technology. This course offers an overview of various blockchain platforms, hosting decisions, associated technologies, and the key development languages used. An important aspect of this course will be the introduction to the concept of consensus mechanisms and their integral role in maintaining the integrity of the blockchain.

By the end of this course, you will be able to:
- Describe how blocks are chained together
- Compare and contrast Pure versus Hybrid blockchains
- List the blockchain layers and describe what each of them does
- Describe the difference between on-chain and off-chain data storage
- Determine the right language and tools based on the blockchain platform and use case
- Describe the Byzantine Generals Problem
- Explain the blockchain trilemma
- Explain how cryptography, consensus, and immutability enhance blockchain security"
24,B6LZjKkwEeyjPxJkzIUqCw,Debugging Apps on Google Kubernetes Engine,googlecloud-debugging-apps-on-google-kubernetes-engine-8pzmb,This is a self-paced lab that takes place in the Google Cloud console. This lab teaches you how logging works on GKE and some best practices for log collection by going through some common logging use cases.
25,5sELsjzeEey2HhKRvGWgpQ,Cómo empezar con Facebook Commerce Manager,facebook-commerce,"En este proyecto se recorrerá la plataforma de administrador de ventas de Facebook, Facebook Commerce Manager, conociendo las distintas herramientas que este administrador nos ofrece."
26,3uRPpdGFEeiElA6q2-9yxA,Researcher Management and Leadership Training,researcher-management-leadership-training,"This course is for early career researchers and mentors who believe that modern scientific careers require management skills and want to be research leaders. This curriculum gives you skills to effectively implement funded projects, thereby enhancing your career success. Research leaders take on a number of new roles, rights, and responsibilities--as scientific leaders, financial administrators, managers, and mentors. In this course, we explain how to optimize the people, teams, projects, and finances for which you are responsible. 

Despite your research training, you are probably facing an urgent training gap in leadership and management skills. Scientific careers falter for non-science reasons when researchers fail to execute a scope of work: struggle to track expenses and returns substantial unspent grant funds; or run out of funds by spending on the wrong people or mismanaging the right people. Consequently, projects close with inadequate progress on aims, thus compromising successful competition for future funding. This course will help avoid these traps.

Leadership and management are essential skills for researchers. Several early career researchers, senior scientists, and administrative leaders are eager to share their expertise and experiences with you."
27,j-zL7CvgEemV_A4t3mTtWg,Introduction to Enterprise Computing,introduction-enterprise-computing,"Large Scale Enterprise Computing powers all major transactions, and the Mainframe is responsible for 87% of all credit card transactions and enables 71% of all Fortune 500 companies. Mainframes are fundamental on how we do business, and IBM Z is the only production mainframe sold today. Virtually everyone depends on it. This is your introduction to the hardware, operating systems, security, and features that make this possible.

On successful completion of this course, learners are eligible to earn their Introduction to Enterprise Computing badge. More information can be found here: https://www.youracclaim.com/org/ibm/badge/introduction-to-enterprise-computing"
28,xpDmwnYyEeyrDAqvINCGXQ,الأخلاقيات والثقافة ووجهات النظر العالمية,ethics-culture-and-global-perspectives-ar,في هذه الدورة التدريبية، ستكتسب فهمًا عميقًا لأهمية الأخلاقيات ودورها داخل المؤسسة وخارجها، كما ستتعرّف على مزايا وتحديات تنوُّع الثقافات وتعدُّد وتغيُّر وجهات النظر العالمية. وستساعدك مهارات الأعمال المهنية المرتبطة بالأخلاقيات والثقافة ووجهات النظر العالمية المُكتسَبة خلال هذه الدورة التدريبية في تحقيق النجاح عند العمل بأي مؤسسة.
29,_HtpP_VIEe2OqwqhrYNGhQ,Financial Planning,financial-planning-course-isb,"This course aims to furnish learners with the essential knowledge necessary for comprehending financial statements, financial markets, economic dynamics, and the construction of investment portfolios. 

The programme's first module serves as an introductory session, elucidating fundamental finance terminologies, and the imperative nature of financial planning. Additionally, it also offers the strategic insights into prudent management of loans and credit to evade potential debt pitfalls. 

Subsequently, the second module delves into the pathways leading to financial independence. The third module scrutinizes on the various streams of income, exploring their diverse forms and implications. 
In the fourth module, participants will acquire a comprehensive understanding of investment fundamentals, encompassing an array of investment vehicles and available avenues for deployment. Modules five and six are dedicated to elucidating the rudiments of life and health insurance, as well as strategies for effective tax planning. 

At the culmination of this course, the participants develop a holistic understanding of financial planning, enabling them to navigate the intricacies of financial management with confidence and proficiency.

Who should take this course?
This program offers valuable insights to learners who are looking to explore their personal financial landscape in a systematic manner and to grasp the implications of broader economic factors such as taxation and inflation.

What do you need to know before taking this course?
While the modules related to financial independence, investing, insurance, and taxation are designed to be comprehensive, any pre-existing knowledge in these areas could enrich the learner’s experience, although it is not mandatory."
30,728RVtH8EeyBrQ7e8kzA9w,Crea diseños de marca para tu pequeña empresa con Canva,crea-disenos-marca-pequena-empresa-canva,"Al final de este proyecto, tendrás todas las habilidades básicas para crear productos de calidad y de marca utilizando la plataforma Canva, una herramienta en línea para crear y editar diseños de marketing. Podrás crear productos personalizables utilizando las diversas herramientas de diseño, colores y gráficos que ofrece Canva.
Este proyecto es para principiantes, personas que no tienen conocimientos de diseño gráfico y que les gustaría crear productos para sus marcas."
31,JnH_K9STEe6PnQom9vUvGw,Multimodality with Gemini,googlecloud-multimodality-with-gemini-zlf0n,This is a self-paced lab that takes place in the Google Cloud console. This lab provides a variety of different use cases enabled by multimodality with Gemini Pro Vision.
32,DX6sNLStEeyQSBIjGmLcFQ,Building No-Code Apps with AppSheet: Implementation,building-no-code-apps-with-appsheet-implementation,"This course teaches you how to implement various capabilities that include data organization and management, application security, actions and integrations in your app using AppSheet. The course also includes topics on managing and upgrading your app, improving performance and troubleshooting issues with your app."
33,rAlpSmWgEeenbhIEmtW1dA,"Modern Robotics, Course 1:  Foundations of Robot Motion",modernrobotics-course1,"Do you want to know how robots work?  Are you interested in robotics as a career?  Are you willing to invest the effort to learn fundamental mathematical modeling techniques that are used in all subfields of robotics?

If so, then the ""Modern Robotics:  Mechanics, Planning, and Control"" specialization may be for you.  This specialization, consisting of six short courses, is serious preparation for serious students who hope to work in the field of robotics or to undertake advanced study.  It is not a sampler.

In Course 1 of the specialization, Foundations of Robot Motion, you will learn fundamental material regarding robot configurations, for both serial robot mechanisms and robots with closed chains.  You will learn about configuration space (C-space), degrees of freedom, C-space topology, implicit and explicit representations of configurations, and holonomic and nonholonomic constraints.  You will also learn how to represent spatial velocities and forces as twists and wrenches.  This material is at the core of the study of anything that moves (e.g., robots).

This course follows the textbook ""Modern Robotics:  Mechanics, Planning, and Control"" (Lynch and Park, Cambridge University Press 2017).  You can purchase the book or use the free preprint pdf.  You will build on a library of robotics software in the language of your choice (among Python, Mathematica, and MATLAB) and use the free cross-platform robot simulator V-REP, which allows you to work with state-of-the-art robots in the comfort of your own home and with zero financial investment."
34,cnH04NsNEeqZLA7SXwAABQ,Blockchain Evolution and Technology Concepts,blockchain-evolution-and-technology-concepts,This specialization offers the latest developments in blockchain technology through a highly engaging learning experience with animated video components and intuitive course flow to maximize your knowledge retention.
35,hMq8y8TzEe62DQ4e1CW1Vw,From prototyping to validating business models,from-prototyping-to-validating-business-models,"On this course, you’ll discover what sustainable business value means in the context of prototyping and validating business models.

You will appraise your value proposition to stakeholders and its likely impact across people, planet, profit, and progress. You’ll develop a comprehensive snapshot of your business model value from three levels of analysis: environmental, social and business, and learn how to effectively pitch your sustainable business concepts.

Via text-based resources and task books, you’ll gain comprehensive understanding and benefit from in-depth reference points as you formulate your ideas and plans."
36,3F4Us6YgEeyjPxJkzIUqCw,University Studies for Student Veterans,university-studies-for-student-veterans,"The skills you learned in the military will go a long way toward helping you succeed in college, but if you’re looking for some extra support – or an academic tune-up – then you’ll find it in this course. We know that the culture of higher education is different from the culture of the military in meaningful ways, and we also know that one of the keys to excelling in college–especially for student veterans–is learning to navigate these differences successfully, right from the very start.

This course aims to help you do just that. First, the course will orient you to the norms and expectations of the college classroom. The quicker you know what is expected of you, the quicker you can start learning. Second, the course will offer you strategies to ease your transition, to help you achieve your academic goals, and to allow you to make the most of your college education.

While this course is open to everyone, the content has been tailored specifically for student veterans currently pursuing higher education, active duty service members who aspire to start school or return to school soon, and higher education professionals who work to support student veterans at their schools. If this sounds like you, and if you’re ready to learn how to make your transition easier and more successful, then we hope you’ll join us.

This online curriculum may be used in a variety of ways, including, but not limited to, as a start-to finish, self-directed online experience (MOOC). It can also, in its current format, serve as an “orientation” for other student veteran success programs. We also invite you to utilize this resource as a library/toolkit of academic success strategies, a tool for flipped classroom pedagogy, or a companion text for on-the-ground transition courses.

We welcome the opportunity to assist higher education institutions (both 2-year and 4-year), military installation education services officers and transition assistance programs, veteran focused non-profit organizations, and more. To get underway, contact us at the Columbia University Center for Veteran Transition and Integration."
37,5uXCfFu2EeSU0SIACxCMgg,Bioinformatic Methods I,bioinformatics-methods-1,"Large-scale biology projects such as the sequencing of the human genome and gene expression surveys using RNA-seq, microarrays and other technologies have created a wealth of data for biologists. However, the challenge facing scientists is analyzing and even accessing these data to extract useful information pertaining to the system being studied. This course focuses on employing existing bioinformatic resources – mainly web-based programs and databases – to access the wealth of data to answer questions relevant to the average biologist, and is highly hands-on. 

Topics covered include multiple sequence alignments, phylogenetics, gene expression data analysis, and protein interaction networks, in two separate parts. 

The first part, Bioinformatic Methods I (this one), deals with databases, Blast, multiple sequence alignments, phylogenetics, selection analysis and metagenomics. 

The second part, Bioinformatic Methods II, covers motif searching, protein-protein interactions, structural bioinformatics, gene expression data analysis, and cis-element predictions. 

This pair of courses is useful to any student considering graduate school in the biological sciences, as well as students considering molecular medicine. Both provide an overview of the many different bioinformatic tools that are out there. 

These courses are based on one taught at the University of Toronto to upper-level undergraduates who have some understanding of basic molecular biology. If you're not familiar with this, something like https://learn.saylor.org/course/bio101 might be helpful. No programming is required for this course. 

Bioinformatic Methods I is regularly updated, and was completely updated for January 2024."
38,hwvdsk86Eem0lhKc4vCNig,Social Network Analysis,social-network-analysis,"This course is designed to quite literally ‘make a science’ out of something at the heart of society: social networks. Humans are natural network scientists, as we compute new network configurations all the time, almost unaware, when thinking about friends and family (which are particular forms of social networks), about colleagues and organizational relations (other, overlapping network structures), and about how to navigate delicate or opportunistic network configurations to save guard or advance in our social standing (with society being one big social network itself). While such network structures always existed, computational social science has helped to reveal and to study them more systematically. In the first part of the course we focus on network structure. This looks as static snapshots of networks, which can be intricate and reveal important aspects of social systems. In our hands-on lab, you will also visualize and analyze a network with a software yourself, which will help to appreciate the complexity social networks can take on. During the second part of the course, we will look at how networks evolve in time. We ask how we can predict what kind of network will form and if and how we could influence network dynamics."
39,Zr5kYllgEe6vbRJrd0-TVw,Build a Mobile App with Firebase,build-a-mobile-app-with-firebase,"e.g. This is primarily aimed at first- and second-year undergraduates interested in engineering or science, along wiUnlock Your App Development Potential: Creating a Feature-Rich Shopping List App

Are you ready to turn your visionary app ideas into reality? If your answer is a resounding 'YES,' then this course is your gateway to a transformative journey.

In this meticulously designed course, we will guide you through the creation of a sophisticated shopping list app using a powerful tech stack, including HTML, CSS, JavaScript, and Firebase. Leveraging Firebase's real-time database capabilities, you'll learn how to store and manage data seamlessly.

Course Highlights:

Mastering Database Fundamentals: Delve into the world of databases as we demystify the intricacies of Firebase Realtime Database. Gain the skills needed to establish and configure your database, while learning the art of data storage and retrieval.

Progressive Web App (PWA) Magic: Elevate your app development expertise by utilizing a unique technique that transforms your web app into a mobile-like experience. Learn how to create PWAs that exhibit remarkable responsiveness and user-friendliness.

Hands-On Experience: Throughout the course, you'll embark on a series of challenges designed to solidify your understanding and proficiency in each topic. Practical application is at the heart of our teaching methodology.

Real-Time Data Interaction: Discover the enchanting world of real-time data synchronization. Witness the magic as your app dynamically updates and displays data changes in real time, enhancing user engagement.

Comprehensive Learning: By the course's conclusion, you'll have the knowledge and skills to set up, connect, populate, display, and manage data in your Firebase Realtime Database. Plus, you'll be well-equipped to handle data deletion tasks.

Exploration Beyond: This course serves as a stepping stone to explore the myriad of other impressive features Firebase offers. You'll have the foundation needed to explore and utilize Firebase's full potential.

Join us on this immersive journey, where innovation meets practicality. Transform your app development aspirations into reality, and become proficient in crafting feature-rich, real-time applications. Enroll today and embark on your path to app development excellence.th high school students and professionals with an interest in programming."
